,Provincias,Ramas de actividad,periodo,Total
265,27 Lugo,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,7730616
266,28 Madrid,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,237540292
267,28 Madrid,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,231423389
268,29 Málaga,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,30776021
269,29 Málaga,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,30872083
270,30 Murcia,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,32719230
271,30 Murcia,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,31094181
272,31 Navarra,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,20518471
273,31 Navarra,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,20063495
274,32 Ourense,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,7104228
275,32 Ourense,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,6762983
276,34 Palencia,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,4303764
277,34 Palencia,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,4378169
278,"35 Palmas, Las",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,22056871
279,"35 Palmas, Las",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,23604509
280,36 Pontevedra,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,21988329
281,36 Pontevedra,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,20812796
282,"26 Rioja, La",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,8619779
283,"26 Rioja, La",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,8602306
284,37 Salamanca,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,7289859
285,37 Salamanca,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,6953579
286,38 Santa Cruz de Tenerife,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,20786249
287,38 Santa Cruz de Tenerife,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,22225081
288,40 Segovia,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,3460982
289,40 Segovia,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,3401442
290,41 Sevilla,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,40657710
291,41 Sevilla,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,39282925
292,42 Soria,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,2531565
